feature,value,shap_value
자산,1520,1.1603447
자산,6410,0.3368695
자산,124500,-2.2483232
자산,27597,-0.5265232
자산,13930,-0.28340894
자산,24940,-0.32076213
자산,16774,-0.46248925
자산,59260,-0.77124304
자산,100304,-1.8336118
자산,262258,-1.6847275
자산,19900,-0.43124855
자산,258786,-1.0949335
자산,260600,-1.2731258
자산,4423,0.15174979
자산,1050,1.8878925
자산,24680,-0.68474257
자산,173300,-1.7538004
자산,9850,0.119917035
자산,145192,-1.806782
자산,3570,0.49738947
자산,15415,-0.3841003
자산,31932,-0.45008436
자산,100600,-2.0442643
자산,310,1.7538052
자산,3820,0.24822465
자산,11410,-0.108102664
자산,69075,-0.71823704
자산,8740,0.029005252
자산,105320,-1.547969
자산,190,1.6127174
자산,1740,1.0175363
자산,5800,0.33947533
자산,48408,-0.88423556
자산,6330,0.34896126
자산,44815,-0.67724264
자산,86100,-1.2240956
자산,121500,-1.9521639
자산,26460,-0.35197523
자산,82900,-0.8734716
자산,33320,-0.61252505
자산,34557,-0.5605905
자산,99760,-1.7026908
자산,272200,-1.4996657
자산,55220,-0.8387344
자산,162200,-1.8080512
자산,93140,-0.9495371
자산,9310,-0.04387016
자산,105000,-1.847899
자산,22381,-0.38587615
자산,75953,-0.8510968
자산,240500,-1.7969989
자산,25220,-0.64830554
자산,1450,1.4479814
자산,54962,-0.7007751
자산,101150,-1.8780376
자산,62611,-0.9271813
자산,54176,-0.7371262
자산,38000,-0.6778796
자산,36560,-0.6676587
자산,1062,1.6544658
자산,147810,-1.6919978
자산,5360,0.35322136
자산,9911,0.106195025
자산,27900,-1.043283
자산,2150,1.0801469
자산,51192,-0.895674
자산,14730,-0.34760535
자산,6570,0.23124015
자산,49295,-0.7547916
자산,9932,-0.0025396398
자산,79490,-1.1717843
자산,130,1.1856441
자산,24463,-0.26226476
자산,9205,-0.06900115
자산,23313,-0.46460274
자산,293760,-1.8636395
자산,15148,-0.016580699
자산,9920,0.04494487
자산,41046,-0.71013165
자산,96000,-0.9470426
자산,33471,-0.6667157
자산,45873,-0.6507032
자산,11348,-0.15527235
자산,21710,-0.4777593
자산,48400,-1.0118035
자산,36720,-0.7209348
자산,70650,-0.6669303
자산,7048,0.3352186
자산,83430,-1.1663916
자산,25298,-0.408765
자산,71300,-0.4754438
자산,31650,-0.73647463
자산,6080,0.39531595
자산,53640,-0.9262811
자산,94942,-0.74923503
자산,280840,-1.7302706
자산,127954,-1.9364904
자산,68190,-0.737355
자산,43176,-0.71212614
자산,38196,-0.62613624
자산,20880,-0.77292377
자산,47959,-1.0447992
자산,71521,-0.3061502
자산,2660,0.8452172
자산,42490,-0.85649467
자산,8550,0.30369988
자산,36390,-0.9073045
자산,62748,-0.91923296
자산,4640,0.123682626
자산,9245,0.061346494
자산,40010,-0.59602994
자산,63000,-0.8542398
자산,5540,0.42509025
자산,18150,-0.7212479
자산,70996,-0.61372536
자산,65158,-0.79145724
자산,1500,1.3515702
자산,18020,-0.58750796
자산,60168,-0.7328101
자산,109298,-1.9208558
자산,745,1.639019
자산,98398,-0.91387326
자산,62340,-0.6201906
자산,22075,-0.6828092
자산,41770,-1.0453651
자산,3112,0.6764524
자산,13938,-0.19131134
자산,120290,-2.0425525
자산,14886,-0.07873673
자산,1110,1.5853038
자산,64874,-0.84189755
자산,196172,-1.9242563
자산,15786,-0.56760037
자산,187956,-1.7641249
자산,3230,0.68497926
자산,87650,-1.2433155
자산,559154,-1.9566174
자산,39315,-0.77708983
자산,1007,1.5572956
자산,64999,-0.7308018
자산,42890,-0.7950152
자산,140100,-1.6805948
자산,1921,1.2482843
자산,2600,0.751815
자산,81214,-1.0110067
자산,76122,-0.62612236
자산,30560,-1.1408118
자산,13655,-0.16714644
자산,26015,-0.4017891
자산,27800,-0.98754597
자산,16892,-0.69558305
자산,6520,0.42420387
자산,525,1.295304
자산,68860,-0.86506975
자산,130229,-1.5565772
자산,67586,-0.49001104
자산,56700,-1.0375594
자산,211050,-1.7983505
자산,112155,-2.1841161
자산,111820,-2.1742187
자산,71185,-0.6951239
자산,49796,-0.7847336
자산,1060,1.6072725
자산,35141,-0.692465
자산,26554,-0.20433545
자산,38608,-0.5712672
자산,4904,0.20697345
자산,219927,-2.0141966
자산,13090,-0.33823553
자산,88170,-1.2429321
자산,3464,0.76008093
자산,76760,-1.0735064
자산,27000,-0.4464507
자산,6874,0.4895117
자산,98205,-1.1740379
자산,33826,-0.89220685
자산,9190,0.2056215
자산,920,1.2613227
자산,239512,-1.5708504
자산,5858,0.37901637
자산,5488,0.31557178
자산,28252,-0.9835866
자산,99890,-2.0056925
자산,24700,-0.6794465
자산,184635,-1.6105227
자산,368400,-1.5398738
자산,82150,-0.73699623
자산,11410,-0.14118305
자산,53502,-0.8010899
자산,18298,-0.40383887
자산,16082,-0.60745484
자산,11720,-0.23461695
자산,20464,-0.6372894
자산,21700,-0.46458343
자산,121638,-2.3781765
자산,39208,-0.77532387
자산,251780,-1.0833089
자산,6420,0.35042205
자산,37601,-0.5761302
자산,13225,-0.24246609
자산,26340,-0.36625174
자산,85545,-0.96811163
자산,9308,0.11438054
자산,6340,0.28324696
자산,40560,-0.6550878
자산,7210,0.42775753
자산,41630,-0.85318214
자산,41629,-0.73825836
자산,21380,-0.6657495
자산,60357,-0.639103
자산,74724,-0.42109147
자산,31179,-0.8225288
자산,33800,-0.7270427
자산,27100,-0.49606785
자산,620,1.2603716
자산,1600,1.1293743
자산,15741,-0.6014302
자산,10200,0.07476145
자산,2045,1.1082373
자산,55344,-0.72923166
자산,31630,-0.66742325
자산,53250,-0.96955115
자산,42434,-0.64538115
자산,240380,-2.1377947
자산,38210,-0.93662375
자산,5196,0.29335925
자산,69554,-0.6791352
자산,90500,-0.87882596
자산,111130,-1.8201177
자산,1075,1.7291105
자산,5135,0.2511584
자산,78620,-0.89674824
자산,81420,-1.2236539
자산,78001,-1.1428651
자산,27250,-0.7867685
자산,950,1.618259
자산,37050,-0.8094264
자산,46400,-0.6792812
자산,28030,-0.96361357
자산,27420,-0.6901812
자산,61154,-0.5850631
자산,102232,-1.783594
자산,21127,-0.27816883
자산,28156,-0.7404249
자산,284428,-1.8924773
자산,114783,-1.8539395
자산,50129,-0.9436552
자산,18900,-0.6577972
자산,457700,-1.6783077
자산,32733,-0.68214154
자산,11790,-0.13008107
자산,66100,-0.6675198
자산,83580,-0.97788084
자산,15440,-0.58842605
자산,11635,-0.1666028
자산,11790,-0.223036
자산,49737,-0.7478631
자산,22800,-0.7250733
자산,35230,-0.710422
자산,40010,-1.184445
자산,127586,-1.770803
자산,64330,-0.8692822
자산,46810,-0.76923096
자산,10310,-0.030651577
자산,24520,-0.5353185
자산,14368,-0.25737184
자산,22000,-0.7032741
자산,19653,-0.686935
자산,18620,-0.4178975
자산,13572,-0.17760865
자산,43915,-0.42196098
자산,13640,-0.06194002
자산,144860,-1.7776953
자산,32580,-0.8109191
자산,77554,-0.95059747
자산,22560,-0.5211608
자산,19090,-0.6504568
자산,12100,-0.1524547
자산,84276,-1.3385704
자산,55650,-0.84145045
자산,8480,0.09426505
자산,34692,-0.53857255
자산,34243,-0.64506966
자산,29101,-0.6637669
자산,24385,-0.48357433
자산,19380,-0.60321957
자산,141729,-1.6582544
자산,17088,-0.4085226
자산,13936,-0.09569674
자산,1411,1.1958935
자산,26256,-0.5861578
자산,14550,-0.25458258
자산,13426,-0.17851517
자산,9158,0.07780149
자산,5800,0.25303027
자산,21150,-0.42715782
자산,164661,-1.8261759
자산,37595,-0.402827
자산,14078,-0.40601683
자산,38371,-0.77789676
자산,43400,-0.59624493
자산,34006,-0.69766134
자산,21420,-0.36785448
자산,280,1.6232625
자산,1575,1.50436
자산,40958,-0.76145136
자산,206045,-1.8639699
자산,3060,0.7494418
자산,21872,-0.55657285
자산,26558,-0.17460378
자산,10600,-0.18117142
자산,132750,-1.6769663
자산,9450,-0.07464787
자산,66670,-0.8116788
자산,145650,-1.6496243
자산,54470,-0.78693134
자산,4640,0.19122441
자산,700,1.3124144
자산,8082,0.32384637
자산,9610,0.0099235475
자산,21990,-0.049756028
자산,89789,-1.134072
자산,57549,-0.77351326
자산,82372,-0.8948072
자산,76327,-0.51761067
자산,103750,-2.076828
자산,66060,-1.0369889
자산,25640,-0.5437602
자산,32682,-0.81440485
자산,13280,-0.1706537
자산,41738,-0.8446168
자산,9210,0.020173792
자산,122484,-1.7328693
자산,13600,-0.18166275
자산,89030,-0.99862266
자산,72400,-0.3248534
자산,10779,-0.07534385
자산,4800,0.13337179
자산,12544,-0.23813055
자산,152913,-1.7833997
자산,18490,-0.34342355
자산,3160,0.716896
자산,12830,-0.2753829
자산,108661,-2.130438
자산,63963,-0.5692874
자산,22979,-0.4490754
자산,7570,0.3149842
자산,67914,-0.8583119
자산,44205,-0.881138
자산,23226,-0.43722323
자산,32392,-0.7369127
자산,65348,-0.7863593
자산,18340,-0.3916565
자산,8900,-0.007455262
자산,8250,0.32397613
자산,51889,-0.65366226
자산,20279,-0.5028223
자산,4516,0.32894543
자산,142910,-0.98280483
자산,4867,0.16202046
자산,14500,-0.22182547
자산,46340,-0.657541
자산,153875,-1.7622542
자산,300,1.50675
자산,16250,-0.65841883
자산,77596,-1.162744
자산,98470,-1.0951006
자산,37589,-0.73931736
자산,66700,-0.8035864
자산,30720,-0.7369727
자산,4840,0.22560507
자산,29057,-1.0155771
자산,81889,-0.8294996
자산,12648,-0.13606185
자산,41350,-0.71636325
자산,5050,0.2049504
자산,2940,0.81110466
자산,2200,1.484063
자산,14525,-0.3635494
자산,2260,1.1746976
자산,5420,0.36854628
자산,9740,-0.10588628
자산,117580,-1.9086996
자산,31080,-0.94370925
자산,39985,-0.7681032
자산,19700,-0.7174749
자산,27590,-0.56673
자산,16516,-0.60409045
자산,84930,-1.274928
자산,1420,1.5080167
자산,5150,0.3230026
자산,15728,-0.9501426
자산,24235,-0.66525847
자산,66485,-0.5665766
자산,10930,-0.057683844
자산,530,1.6596891
자산,11937,-0.2583545
자산,430,1.7521682
자산,70708,-0.6856865
자산,21239,-0.3187734
자산,32480,-0.8002634
자산,36900,-0.8800525
자산,32384,-0.62843233
자산,52960,-0.6672472
자산,2580,0.80022216
자산,11662,-0.12441342
자산,6388,0.41811317
자산,3335,0.43627763
자산,4186,0.34164527
자산,65463,-0.70960826
자산,53808,-0.89794606
자산,126580,-2.048495
자산,3400,0.5084852
자산,26160,-0.3789945
자산,1846,1.498388
자산,27215,-0.3229459
자산,27695,-0.6556304
자산,11550,-0.058290504
자산,67420,-0.4631004
자산,117600,-2.1073353
자산,2860,0.23863451
자산,960,1.6123255
자산,20750,-0.43495196
자산,10965,-0.22374067
자산,15260,-0.21962929
자산,19116,-0.49615014
자산,7135,0.3190165
자산,4406,0.21768531
자산,167966,-1.7861909
자산,82880,-0.8881057
자산,12528,-0.058970593
자산,3300,0.72122437
자산,110798,-2.0343418
자산,39727,-0.9113727
자산,12655,-0.03363051
자산,18360,-0.51067215
자산,15358,-0.06665798
자산,94586,-0.72432375
자산,3567,0.5051687
자산,17280,-0.7023592
자산,35892,-0.4838519
자산,49504,-0.6186763
자산,30026,-1.2173629
자산,27917,-0.90475076
자산,25325,-0.41700178
자산,131030,-1.5074737
자산,6930,0.44773948
자산,3278,0.6473869
자산,1923,1.1169133
자산,3738,0.20344928
자산,22049,-0.36115685
자산,2705,0.7168148
자산,119971,-1.6216763
자산,44586,-0.6562993
자산,37321,-0.6706898
자산,37980,-0.78370774
자산,66430,-0.74970543
자산,3075,0.92481214
자산,36250,-0.7537187
자산,55270,-0.622636
자산,46967,-0.7109314
자산,26508,-0.56435364
자산,15400,-0.06967403
자산,7490,0.32121387
자산,39964,-0.7722717
자산,106789,-2.1852818
자산,14775,-0.41689342
자산,69820,-0.38136834
자산,32939,-0.70337707
자산,10640,-0.17291431
자산,4161,0.4434329
자산,3600,0.7687652
자산,15010,-0.3394183
자산,44942,-0.48762897
자산,17300,-0.6500387
자산,13180,-0.13164853
자산,6950,0.20221284
자산,12800,-0.14617316
자산,854,1.1681067
자산,26424,-0.35951525
자산,60044,-0.8483137
자산,6110,0.32823044
자산,21744,-0.39123926
자산,25754,-0.21150254
자산,36970,-0.6577558
자산,5820,0.37293732
자산,62375,-0.76072663
자산,59140,-0.89328694
자산,16984,-0.6727451
자산,131607,-1.6174573
자산,54300,-0.73091143
자산,25380,-0.6120937
자산,8592,0.3483707
자산,55226,-1.0626019
자산,20060,-0.7630154
자산,43150,-0.81039244
자산,6358,0.26496485
자산,10550,-0.21575047
자산,33568,-0.6116845
자산,42659,-0.4809301
자산,14167,-0.18316813
자산,12833,-0.30974925
자산,93700,-0.61679864
자산,58700,-0.72345066
자산,1790,1.6476625
자산,24040,-0.4811375
자산,110807,-1.9335979
자산,21500,-0.61390054
자산,12950,-0.28745037
자산,150,1.805304
자산,145205,-1.7074859
자산,16700,-0.39232096
자산,77155,-1.1335039
자산,5410,0.3599583
자산,18632,-0.5972797
자산,50920,-0.7960067
자산,124,1.8310859
자산,17364,-0.47795737
자산,87200,-1.0205442
자산,32890,-0.69898397
자산,21076,-0.40434054
자산,1958,1.332927
자산,29460,-1.2038602
자산,17579,-0.69079685
자산,28210,-1.0559951
자산,18125,-0.7331738
자산,3011,0.80244946
자산,14980,-0.1114991
자산,7870,0.17953798
자산,10950,-0.19779313
자산,41881,-0.82277805
자산,26780,-0.3903632
자산,16372,0.020368291
자산,24600,-0.39776853
자산,289900,-1.7110417
자산,37240,-0.6693953
